status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150706143079999,"Quote of the Day: ""After this, I’m seeing a lot of people coming together."" — Erika Flores, who has lived in San Bernardino for 5 years, on the city’s reaction to last week’s shooting rampage.",San Bernardino Community Struck by Massacre Seemed on Verge of Turnaround,link,http://www.nytimes.com/2015/12/07/us/before-attack-san-bernardino-was-on-the-verge-of-a-turnaround.html?smid=fb-nytimes&smtyp=cur,2015-12-07 09:55:01,372,41,22
5281959998_10150706151699999,"""Wall Street should focus on building an economy that creates good-paying jobs, rising incomes and sound investments so that more families can achieve the security of a middle-class life,"" writes Hillary Clinton in The New York Times Opinion Section.",Hillary Clinton: How I’d Rein In Wall Street,link,http://www.nytimes.com/2015/12/07/opinion/hillary-clinton-how-id-rein-in-wall-street.html?smid=fb-nytimes&smtyp=cur,2015-12-07 09:35:01,2003,457,221
5281959998_10150706155194999,It's a major coup for Sotheby's.,"Marc Porter to Leave Christie’s for Its Archrival, Sotheby’s",link,http://www.nytimes.com/2015/12/08/arts/marc-porter-to-leave-christies-for-its-archrival-sothebys.html?smid=fb-nytimes&smtyp=cur,2015-12-07 09:10:01,172,13,16
5281959998_10150706146564999,"“We need to put the great disrupters at work at disrupting ISIS,” said Hillary Clinton.",Hillary Clinton Urges Silicon Valley to ‘Disrupt’ ISIS,link,http://www.nytimes.com/2015/12/07/us/politics/hillary-clinton-islamic-state-saban-forum.html?smid=fb-nytimes&smtyp=cur,2015-12-07 08:59:01,1560,156,187
5281959998_10150706141119999,"""Owning books in the home is one of the best things you can do for your children academically.""","Our (Bare) Shelves, Our Selves",link,http://www.nytimes.com/2015/12/06/fashion/our-bare-shelves-our-selves.html?smid=fb-nytimes&smtyp=cur,2015-12-07 08:32:14,10732,368,6207
5281959998_10150706138269999,A behind-the-scenes look at the effort to take down Fannie and Freddie.,A Revolving Door Helps Big Banks’ Quiet Campaign to Muscle Out Fannie and Freddie,link,http://www.nytimes.com/2015/12/07/business/a-revolving-door-helps-big-banks-quiet-campaign-to-muscle-out-fannie-and-freddie.html?smid=fb-nytimes&smtyp=cur,2015-12-07 08:02:35,361,26,105
5281959998_10150704803109999,"A richer, festive challah that's probably not what you're used to, from The New York Times Food.",Sephardic Challah With Whole Spices Recipe,link,http://nyti.ms/1NvQTAJ,2015-12-07 07:55:02,618,29,194
5281959998_10150706052529999,"“If you love liberty, then Paris is your hometown.” — Bono, U2's frontman",U2 Returns to Paris for Concert Called Off After Terrorist Attacks,link,http://nyti.ms/1TuXVWL,2015-12-07 07:25:02,4087,89,339
5281959998_10150705787299999,"""I love the B-52. But the fact that this is still flying is really insane.""","After 60 Years, B-52s Still Dominate U.S. Fleet",link,http://nyti.ms/1Q965WE,2015-12-07 05:55:01,2308,202,576
5281959998_10150705791489999,"Like other developing countries, Nigeria has welcomed Chinese trade. The relationship has left it awash in shoddy imported goods and has cost many Nigerians their jobs.","In Nigeria, Chinese Investment Comes With a Downside",link,http://nyti.ms/1Q96SqE,2015-12-07 03:55:01,711,82,279
5281959998_10150705807224999,"A good con artist can ""identify your deepest need and exploit it. It's not about honesty or greed; we are all suckers for belief."" 

Read more in The New York Times Opinion Section.",Born to Be Conned,link,http://nyti.ms/1OOtVnr,2015-12-07 01:55:01,1078,87,466
5281959998_10150705783829999,"Screenwriters have been habitually overlooked by critics and a moviegoing public that hallows directors and A-list actors. This year, Aaron Sorkin and Amy Schumer were among the best.",Six Screenwriters Leaving Their Mark on Hollywood,link,http://nyti.ms/21vDGOn,2015-12-07 00:55:01,2407,87,380
5281959998_10150706031409999,"This week on ""The Affair,"" as usual, we were reminded of just how hard it is being Alison. (Spoilers ahead.)","‘The Affair’ Season 2, Episode 10: A Sick Bad Guy",link,http://nyti.ms/1N5BllL,2015-12-07 00:10:01,341,45,27
5281959998_10150705872759999,"There's Facebook beckoning, there's Netflix autoplaying, there's Tinder encouraging and ...",Can’t Put Down Your Device? That’s by Design,link,http://nyti.ms/1Q9k52Q,2015-12-06 23:55:01,420,21,111
5281959998_10150706018524999,“We are ashamed and shocked about this act done by our niece. Why did she do something so gruesome? We can’t believe it.”,Tashfeen Malik Was a ‘Saudi Girl’ Who Stood Out at a Pakistani University,link,http://nyti.ms/1lHTcpI,2015-12-06 23:40:01,927,215,180
5281959998_10150705773939999,"For 5 nights, people climbed onto an elevated rail line to get to a speakeasy hidden inside a shipping container. (via New York Today)","In Queens, Now Arriving in No Man’s Land",link,http://nyti.ms/1Q91Dav,2015-12-06 23:25:01,1292,97,206
5281959998_10150706010414999,"Examining the ways in which ""The Leftovers"" and ""Lost"" talk to each other is a fascinating exercise and, in the case of this episode, illuminating, our recapper writes. What did you think of the season 2 finale? (Spoilers ahead.)",‘The Leftovers’ Season 2 Finale: Nobody Does It Alone,link,http://nyti.ms/1NE3A8l,2015-12-06 23:10:26,583,130,100
5281959998_10150705993859999,"President Obama's Oval Office speech
Video: http://nyti.ms/1OJwKbu
Transcript: http://nyti.ms/1Qq1gXA",Timeline Photos,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150705993859999/?type=3,2015-12-06 22:55:01,932,89,72
5281959998_10150705994124999,"This week on ""Homeland,"" a nice surprise: Carrie has a new friend. (Spoilers ahead.)","‘Homeland’ Season 5, Episode 10 Recap: A Friendship Develops",link,http://nyti.ms/1XUEJTx,2015-12-06 22:33:24,362,37,29
5281959998_10150705966359999,"""Muslim Americans are our friends and our neighbors, our co-workers, our sports heroes. And, yes, they are our men and women in uniform who are willing to die in defense of our country. We have to remember that,” said President Barack Obama in an Oval Office address.","""Muslim Americans are our friends and our neighbors""",video,https://www.facebook.com/nytimes/videos/10150705966359999/,2015-12-06 22:07:21,12634,540,1511
5281959998_10150705956284999,"""ISIL does not speak for Islam. They are thugs and killers, part of a cult of death,"" President Barack Obama said in an Oval Office address.","""ISIL does not speak for Islam""",video,https://www.facebook.com/nytimes/videos/10150705956284999/,2015-12-06 21:34:28,13100,644,2027
5281959998_10150705934654999,"""We will destroy ISIL and any other organization that tries to harm us,"" said President Barack Obama in an Oval Office address.","""We will destroy ISIL""",video,https://www.facebook.com/nytimes/videos/10150705934654999/,2015-12-06 21:11:35,4014,403,387
5281959998_10150705933134999,"President Barack Obama urged Americans not to give in to fear or resort to discrimination against Muslims or others in an effort to feel more secure. He called the Islamic State terrorists “thugs and killers, part of a cult of death,” but he said they do not speak for most Muslims.",Timeline Photos,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150705933134999/?type=3,2015-12-06 21:01:32,16520,399,2476
5281959998_10150705912799999,"“The threat from terrorism is real, but we will overcome it.”
-- President Barack Obama, in an address from the Oval Office",Obama Says of Terrorist Threat: ‘We Will Overcome It’,link,http://nyti.ms/1m5WVxM,2015-12-06 20:17:10,3393,628,266
5281959998_10150705906459999,LIVE: We are live-streaming President Barack Obama’s speech from the Oval Office. Watch: http://nyti.ms/1KqgyaY,,status,,2015-12-06 20:03:44,584,79,43
5281959998_10150704772634999,"A cozy Sri Lankan curry for the chilly nights ahead.

Get more recipes from The New York Times Food.",Coconut Chicken Curry with Cashews Recipe,link,http://nyti.ms/1YOisZY,2015-12-06 19:55:01,3819,261,1628
5281959998_10150705856094999,"Breaking News: The United States Department of Justice will authorize a far-ranging investigation into the patterns and practices of the Chicago Police Department, part of the fallout over a video showing the police shooting of a black teenager.",Justice Dept. Expected to Investigate Chicago Police After Laquan McDonald Case,link,http://nyti.ms/1Q9j0rP,2015-12-06 17:37:41,3186,155,539
5281959998_10150705846559999,NFL Week 13 had huge playoff implications. Seattle Seahawks and Buffalo Bills fans should be pleased.,N.F.L. Week 13 Scores and Highlights,link,http://nyti.ms/1OOAkz8,2015-12-06 17:25:00,268,14,21
5281959998_10150705805064999,"By giving, ""we're actually doing ourselves a favor, too.""

Read on in The New York Times Opinion Section.",The Feel-Good School of Philanthropy,link,http://nyti.ms/1OOthX4,2015-12-06 16:55:13,1239,33,328
5281959998_10150705794994999,"Our critic's take: Bill Murray and George Clooney reach ""a level of ridiculous"" not seen since ""Pee-wee's Playhouse Christmas Special.""","Review: ‘A Very Murray Christmas,’ a Holiday Special for the Disillusioned",link,http://nyti.ms/1OOqhu1,2015-12-06 16:25:01,2709,240,481
